[0802/133959:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0802/134553:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0802/140932:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0802/140950:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0803/142855:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0803/143442:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0803/144542:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0804/093237:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0805/135304:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0805/135450:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0805/135633:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0805/140357:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0805/142601:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0805/144605:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0805/145757:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/092705:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/093600:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/105924:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/110038:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/110136:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/110442:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/130351:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/130608:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/130829:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/131025:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/131434:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/134839:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/150042:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/150200:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/151136:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/152101:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/153913:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0808/154437:ERROR:file_io.cc(30)] read: expected 36, observed 0
